time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
15311.67645	   1.00000	20004.45300	   0.29269	  -0.01258	   0.29296	   2.46086
15311.81945	   1.00000	15829.12600	   0.29965	   0.00726	   0.29974	  -1.38709
15311.96145	   1.00000	12516.70300	   0.31052	   0.02539	   0.31156	  -4.67387
15312.10345	   1.00000	9909.44240	   0.32220	   0.04037	   0.32472	  -7.14216
15312.26745	   1.00000	7835.48000	   0.33091	   0.05405	   0.33529	  -9.27739
15312.46845	   1.00000	6217.24610	   0.34420	   0.06616	   0.35050	 -10.88084
15312.70645	   1.00000	4905.29100	   0.35809	   0.07716	   0.36630	 -12.15953
15312.94445	   1.00000	3881.27370	   0.37313	   0.08911	   0.38363	 -13.43117
15313.18245	   1.00000	3070.98270	   0.38851	   0.09731	   0.40051	 -14.06123
15313.42045	   1.00000	2430.77780	   0.40363	   0.10923	   0.41815	 -15.14230
15313.65945	   1.00000	1923.15370	   0.42177	   0.11776	   0.43791	 -15.60042
15313.89745	   1.00000	1522.43580	   0.44015	   0.12869	   0.45858	 -16.29785
15314.13545	   1.00000	1203.84460	   0.46026	   0.13685	   0.48018	 -16.55877
15314.37345	   1.00000	 952.86591	   0.48234	   0.14672	   0.50416	 -16.91914
15314.61245	   1.00000	 754.27557	   0.50203	   0.15693	   0.52599	 -17.35821
15314.84945	   1.00000	 596.71857	   0.52661	   0.16681	   0.55239	 -17.57673
15315.08745	   1.00000	 471.96338	   0.55196	   0.17599	   0.57934	 -17.68431
15315.32645	   1.00000	 373.20856	   0.57658	   0.18668	   0.60605	 -17.94070
15315.56345	   1.00000	 295.47278	   0.60629	   0.19783	   0.63775	 -18.07173
15315.80345	   1.00000	 233.87738	   0.63533	   0.20902	   0.66883	 -18.21114
15316.04145	   1.00000	 185.05922	   0.66656	   0.22260	   0.70274	 -18.46672
15316.27745	   1.00000	 146.35823	   0.70128	   0.23557	   0.73979	 -18.56767
15316.51345	   1.00000	 115.77804	   0.73842	   0.24733	   0.77874	 -18.51833
15316.74845	   1.00000	  91.67210	   0.77709	   0.25789	   0.81876	 -18.35905
15316.99345	   1.00000	  72.51701	   0.81722	   0.26947	   0.86050	 -18.24913
15317.22245	   1.00000	  57.36816	   0.86037	   0.27997	   0.90478	 -18.02521
15317.45945	   1.00000	  45.36290	   0.90312	   0.28883	   0.94818	 -17.73469
15317.69145	   1.00000	  35.93134	   0.94358	   0.29750	   0.98936	 -17.49939
15317.94145	   1.00000	  28.40909	   0.98695	   0.30622	   1.03336	 -17.23768
15318.15645	   1.00000	  22.48202	   1.02652	   0.31634	   1.07416	 -17.12786
15318.42145	   1.00000	  17.79613	   1.06898	   0.33087	   1.11901	 -17.19813
15318.67345	   1.00000	  14.06813	   1.11266	   0.35137	   1.16682	 -17.52575
15318.88945	   1.00000	  11.14480	   1.16327	   0.37593	   1.22250	 -17.90892
15319.15645	   1.00000	   8.81772	   1.21537	   0.40272	   1.28035	 -18.33303
15319.33545	   1.00000	   6.97545	   1.27221	   0.44010	   1.34618	 -19.08229
15319.55345	   1.00000	   5.51730	   1.35925	   0.46755	   1.43741	 -18.98211
15319.82245	   1.00000	   4.36941	   1.42741	   0.50075	   1.51270	 -19.33141
15320.15745	   1.00000	   3.45686	   1.53427	   0.50906	   1.61651	 -18.35545
15320.57645	   1.00000	   2.73547	   1.63983	   0.53104	   1.72367	 -17.94391
15321.10145	   1.00000	   2.16054	   1.73623	   0.52108	   1.81274	 -16.70569
15321.76045	   1.00000	   1.70952	   1.83998	   0.49003	   1.90411	 -14.91305
15322.58845	   1.00000	   1.35352	   1.93386	   0.45683	   1.98708	 -13.29102
15323.63145	   1.00000	   1.07079	   2.00707	   0.41403	   2.04933	 -11.65580
15324.94545	   1.00000	   0.84734	   2.06511	   0.36522	   2.09716	 -10.02914
15326.60145	   1.00000	   0.67072	   2.11321	   0.31985	   2.13728	  -8.60691
15328.69045	   1.00000	   0.53067	   2.15037	   0.27859	   2.16834	  -7.38177
15331.32645	   1.00000	   0.41976	   2.17850	   0.24673	   2.19243	  -6.46171
15334.65845	   1.00000	   0.33183	   2.19946	   0.22116	   2.21055	  -5.74181
15338.86345	   1.00000	   0.26261	   2.21547	   0.20111	   2.22458	  -5.18693
15344.17145	   1.00000	   0.20791	   2.23083	   0.18692	   2.23864	  -4.78955
15350.87645	   1.00000	   0.16452	   2.24522	   0.18019	   2.25244	  -4.58839
15359.35245	   1.00000	   0.13007	   2.25970	   0.18129	   2.26696	  -4.58678
15370.04245	   1.00000	   0.10309	   2.27233	   0.18774	   2.28007	  -4.72318
15383.55645	   1.00000	   0.08153	   2.28716	   0.19866	   2.29577	  -4.96420
15400.65446	   1.00000	   0.06443	   2.30747	   0.21709	   2.31766	  -5.37472
15422.24046	   1.00000	   0.05102	   2.33563	   0.24284	   2.34822	  -5.93586
15449.48346	   1.00000	   0.04042	   2.36410	   0.28342	   2.38103	  -6.83630
15483.97846	   1.00000	   0.03192	   2.38942	   0.32985	   2.41208	  -7.85988
15527.52546	   1.00000	   0.02528	   2.42036	   0.37178	   2.44875	  -8.73263
15582.59046	   1.00000	   0.01999	   2.46950	   0.41546	   2.50421	  -9.54970
30881.28857	   2.00000	20004.45300	   0.29559	  -0.01267	   0.29587	   2.45464
30881.43157	   2.00000	15829.12600	   0.30587	   0.00827	   0.30598	  -1.54964
30881.57357	   2.00000	12516.70300	   0.31444	   0.02576	   0.31549	  -4.68361
30881.71557	   2.00000	9909.44240	   0.32533	   0.04174	   0.32799	  -7.31157
30881.87957	   2.00000	7835.48000	   0.33690	   0.05547	   0.34144	  -9.34993
30882.08057	   2.00000	6217.24610	   0.34931	   0.06899	   0.35606	 -11.17159
30882.31857	   2.00000	4905.29100	   0.36404	   0.07898	   0.37250	 -12.24075
30882.55757	   2.00000	3881.27370	   0.37698	   0.09116	   0.38785	 -13.59455
30882.79557	   2.00000	3070.98270	   0.39344	   0.10041	   0.40605	 -14.31759
30883.03257	   2.00000	2430.77780	   0.40949	   0.11186	   0.42450	 -15.27927
30883.27157	   2.00000	1923.15370	   0.42759	   0.12040	   0.44422	 -15.72600
30883.50957	   2.00000	1522.43580	   0.44800	   0.13010	   0.46651	 -16.19328
30883.74757	   2.00000	1203.84460	   0.46668	   0.14040	   0.48734	 -16.74328
30883.98557	   2.00000	 952.86591	   0.48872	   0.14965	   0.51111	 -17.02470
30884.22457	   2.00000	 754.27557	   0.51135	   0.15843	   0.53533	 -17.21433
30884.46157	   2.00000	 596.71857	   0.53566	   0.16900	   0.56169	 -17.51035
30884.69857	   2.00000	 471.96338	   0.56049	   0.17997	   0.58867	 -17.80142
30884.93857	   2.00000	 373.20856	   0.58833	   0.19043	   0.61838	 -17.93607
30885.17557	   2.00000	 295.47278	   0.61695	   0.19940	   0.64838	 -17.91108
30885.41457	   2.00000	 233.87738	   0.64820	   0.21216	   0.68204	 -18.12355
30885.65357	   2.00000	 185.05922	   0.67750	   0.22423	   0.71364	 -18.31310
30885.88957	   2.00000	 146.35823	   0.71278	   0.23620	   0.75090	 -18.33419
30886.12557	   2.00000	 115.77804	   0.75102	   0.24740	   0.79072	 -18.23314
30886.36057	   2.00000	  91.67210	   0.78887	   0.25982	   0.83056	 -18.22993
30886.60557	   2.00000	  72.51701	   0.82878	   0.27097	   0.87195	 -18.10500
30886.83457	   2.00000	  57.36816	   0.87313	   0.27964	   0.91681	 -17.75898
30887.07157	   2.00000	  45.36290	   0.91383	   0.28819	   0.95819	 -17.50361
30887.30357	   2.00000	  35.93134	   0.95691	   0.29768	   1.00214	 -17.28039
30887.55357	   2.00000	  28.40909	   0.99833	   0.30482	   1.04383	 -16.97886
30887.76857	   2.00000	  22.48202	   1.04166	   0.31760	   1.08900	 -16.95610
30888.03357	   2.00000	  17.79613	   1.08242	   0.33161	   1.13208	 -17.03291
30888.28557	   2.00000	  14.06813	   1.12885	   0.34828	   1.18136	 -17.14621
30888.50157	   2.00000	  11.14480	   1.17669	   0.36903	   1.23320	 -17.41229
30888.76857	   2.00000	   8.81772	   1.22981	   0.39759	   1.29248	 -17.91556
30888.94657	   2.00000	   6.97545	   1.30612	   0.42947	   1.37492	 -18.20171
30889.16557	   2.00000	   5.51730	   1.36778	   0.44342	   1.43786	 -17.96202
30889.43457	   2.00000	   4.36941	   1.46125	   0.47378	   1.53614	 -17.96407
30889.76957	   2.00000	   3.45686	   1.53976	   0.48344	   1.61387	 -17.43089
30890.18857	   2.00000	   2.73547	   1.64323	   0.47419	   1.71028	 -16.09672
30890.71357	   2.00000	   2.16054	   1.74013	   0.46554	   1.80133	 -14.97768
30891.37257	   2.00000	   1.70952	   1.82062	   0.43625	   1.87216	 -13.47501
30892.20057	   2.00000	   1.35352	   1.89521	   0.39377	   1.93569	 -11.73733
30893.24357	   2.00000	   1.07079	   1.95904	   0.35069	   1.99018	 -10.14919
