time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
9536.27192	   1.00000	20004.45300	   0.35034	  -0.02407	   0.35117	   3.93103
9536.41492	   1.00000	15829.12600	   0.35724	  -0.00714	   0.35731	   1.14432
9536.55692	   1.00000	12516.70300	   0.36385	   0.00556	   0.36389	  -0.87511
9536.69892	   1.00000	9909.44240	   0.37172	   0.01752	   0.37213	  -2.69787
9536.86292	   1.00000	7835.48000	   0.37715	   0.02746	   0.37815	  -4.16408
9537.06392	   1.00000	6217.24610	   0.38434	   0.03733	   0.38615	  -5.54827
9537.30192	   1.00000	4905.29100	   0.39394	   0.04455	   0.39645	  -6.45201
9537.54092	   1.00000	3881.27370	   0.40191	   0.05183	   0.40524	  -7.34808
9537.77892	   1.00000	3070.98270	   0.41220	   0.05827	   0.41630	  -8.04624
9538.01692	   1.00000	2430.77780	   0.42217	   0.06464	   0.42709	  -8.70566
9538.25492	   1.00000	1923.15370	   0.43210	   0.07134	   0.43795	  -9.37556
9538.49292	   1.00000	1522.43580	   0.44364	   0.07563	   0.45004	  -9.67462
9538.73092	   1.00000	1203.84460	   0.45698	   0.08099	   0.46410	 -10.04952
9538.96992	   1.00000	 952.86591	   0.46805	   0.08757	   0.47617	 -10.59682
9539.20792	   1.00000	 754.27557	   0.48392	   0.09194	   0.49258	 -10.75767
9539.44492	   1.00000	 596.71857	   0.49722	   0.10037	   0.50725	 -11.41239
9539.68292	   1.00000	 471.96338	   0.51177	   0.10358	   0.52215	 -11.44184
9539.92192	   1.00000	 373.20856	   0.52815	   0.11009	   0.53950	 -11.77495
9540.15992	   1.00000	 295.47278	   0.54469	   0.11525	   0.55675	 -11.94739
9540.39892	   1.00000	 233.87738	   0.56179	   0.12142	   0.57476	 -12.19545
9540.63692	   1.00000	 185.05922	   0.57985	   0.12631	   0.59344	 -12.28909
9540.87292	   1.00000	 146.35823	   0.59905	   0.13202	   0.61343	 -12.42835
9541.10992	   1.00000	 115.77804	   0.61893	   0.13747	   0.63401	 -12.52303
9541.34392	   1.00000	  91.67210	   0.64095	   0.14366	   0.65685	 -12.63336
9541.58892	   1.00000	  72.51701	   0.66305	   0.14941	   0.67967	 -12.69880
9541.81792	   1.00000	  57.36816	   0.68851	   0.15564	   0.70588	 -12.73798
9542.05492	   1.00000	  45.36290	   0.71497	   0.15985	   0.73263	 -12.60259
9542.28692	   1.00000	  35.93134	   0.74176	   0.16290	   0.75944	 -12.38606
9542.53792	   1.00000	  28.40909	   0.77283	   0.16283	   0.78980	 -11.89749
9542.75192	   1.00000	  22.48202	   0.80232	   0.16148	   0.81841	 -11.37937
9543.01692	   1.00000	  17.79613	   0.82979	   0.15398	   0.84396	 -10.51221
9543.26892	   1.00000	  14.06813	   0.85978	   0.14717	   0.87229	  -9.71335
9543.48492	   1.00000	  11.14480	   0.88209	   0.13415	   0.89223	  -8.64718
9543.75292	   1.00000	   8.81772	   0.90572	   0.12293	   0.91403	  -7.72928
9543.93092	   1.00000	   6.97545	   0.92032	   0.11326	   0.92726	  -7.01578
9544.14892	   1.00000	   5.51730	   0.93211	   0.10019	   0.93748	  -6.13488
9544.41792	   1.00000	   4.36941	   0.94651	   0.08806	   0.95060	  -5.31541
9544.75292	   1.00000	   3.45686	   0.95952	   0.08053	   0.96289	  -4.79771
9545.17192	   1.00000	   2.73547	   0.96989	   0.07724	   0.97296	  -4.55342
9545.69692	   1.00000	   2.16054	   0.97507	   0.07449	   0.97792	  -4.36860
9546.35592	   1.00000	   1.70952	   0.97646	   0.07074	   0.97902	  -4.14379
9547.18492	   1.00000	   1.35352	   0.97961	   0.06413	   0.98170	  -3.74562
