time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
12796.72678	   1.00000	20004.45300	   0.26972	  -0.01767	   0.27030	   3.74766
12796.86978	   1.00000	15829.12600	   0.27958	   0.00329	   0.27959	  -0.67512
12797.01178	   1.00000	12516.70300	   0.28716	   0.02259	   0.28805	  -4.49759
12797.15378	   1.00000	9909.44240	   0.29771	   0.04013	   0.30040	  -7.67783
12797.31778	   1.00000	7835.48000	   0.30761	   0.05389	   0.31229	  -9.93612
12797.51878	   1.00000	6217.24610	   0.32157	   0.06672	   0.32842	 -11.72135
12797.75678	   1.00000	4905.29100	   0.33611	   0.07832	   0.34511	 -13.11637
12797.99478	   1.00000	3881.27370	   0.34776	   0.08814	   0.35876	 -14.22177
12798.23278	   1.00000	3070.98270	   0.36143	   0.09882	   0.37469	 -15.29221
12798.47078	   1.00000	2430.77780	   0.37908	   0.10736	   0.39399	 -15.81291
12798.70978	   1.00000	1923.15370	   0.39912	   0.11692	   0.41590	 -16.32763
12798.94778	   1.00000	1522.43580	   0.41787	   0.12653	   0.43661	 -16.84550
12799.18578	   1.00000	1203.84460	   0.43762	   0.13732	   0.45866	 -17.42167
12799.42378	   1.00000	 952.86591	   0.46039	   0.14675	   0.48321	 -17.68007
12799.66278	   1.00000	 754.27557	   0.48399	   0.15588	   0.50848	 -17.85276
12799.89978	   1.00000	 596.71857	   0.50882	   0.16524	   0.53498	 -17.99135
12800.13678	   1.00000	 471.96338	   0.53264	   0.17372	   0.56025	 -18.06341
12800.37578	   1.00000	 373.20856	   0.55862	   0.18354	   0.58800	 -18.18841
12800.61378	   1.00000	 295.47278	   0.58583	   0.19173	   0.61640	 -18.12209
12800.85278	   1.00000	 233.87738	   0.61550	   0.20091	   0.64747	 -18.07787
12801.09078	   1.00000	 185.05922	   0.64735	   0.20994	   0.68054	 -17.96825
12801.32778	   1.00000	 146.35823	   0.67975	   0.22045	   0.71460	 -17.96861
12801.56378	   1.00000	 115.77804	   0.71538	   0.22931	   0.75123	 -17.77298
12801.79778	   1.00000	  91.67210	   0.75165	   0.23581	   0.78777	 -17.41790
12802.04378	   1.00000	  72.51701	   0.78651	   0.24567	   0.82399	 -17.34652
12802.27278	   1.00000	  57.36816	   0.82126	   0.24818	   0.85794	 -16.81461
12802.50878	   1.00000	  45.36290	   0.85785	   0.25341	   0.89450	 -16.45728
12802.74178	   1.00000	  35.93134	   0.90797	   0.25815	   0.94395	 -15.87139
12802.99178	   1.00000	  28.40909	   0.94138	   0.26955	   0.97921	 -15.97852
12803.20578	   1.00000	  22.48202	   0.98732	   0.27520	   1.02496	 -15.57467
12803.47078	   1.00000	  17.79613	   1.03681	   0.27111	   1.07167	 -14.65401
12803.72378	   1.00000	  14.06813	   1.05981	   0.26360	   1.09210	 -13.96746
12803.93978	   1.00000	  11.14480	   1.13651	   0.28389	   1.17143	 -14.02504
12804.20678	   1.00000	   8.81772	   1.14399	   0.27498	   1.17658	 -13.51558
12804.38478	   1.00000	   6.97545	   1.21053	   0.23809	   1.23372	 -11.12690
12804.60278	   1.00000	   5.51730	   1.30234	   0.24514	   1.32521	 -10.66017
12804.87278	   1.00000	   4.36941	   1.32614	   0.27941	   1.35526	 -11.89773
12805.20778	   1.00000	   3.45686	   1.30872	   0.25836	   1.33398	 -11.16721
12805.62578	   1.00000	   2.73547	   1.30828	   0.18284	   1.32099	  -7.95591
12806.15078	   1.00000	   2.16054	   1.36059	   0.09388	   1.36383	  -3.94722
12806.81078	   1.00000	   1.70952	   1.46209	   0.04670	   1.46284	  -1.82944
12807.63878	   1.00000	   1.35352	   1.56654	   0.07690	   1.56842	  -2.81021
12808.68178	   1.00000	   1.07079	   1.61244	   0.17574	   1.62199	  -6.22026
12809.99578	   1.00000	   0.84734	   1.56396	   0.28630	   1.58995	 -10.37367
12811.65178	   1.00000	   0.67072	   1.45184	   0.34101	   1.49135	 -13.21811
12813.73978	   1.00000	   0.53067	   1.27683	   0.28699	   1.30869	 -12.66787
12816.37678	   1.00000	   0.41976	   1.16121	   0.09923	   1.16544	  -4.88413
12819.70778	   1.00000	   0.33183	   1.19872	  -0.15812	   1.20911	   7.51453
12823.91378	   1.00000	   0.26261	   1.42615	  -0.36751	   1.47274	  14.45044
12829.22178	   1.00000	   0.20791	   1.78625	  -0.39571	   1.82956	  12.49092
12835.92578	   1.00000	   0.16452	   2.13751	  -0.17061	   2.14431	   4.56363
12844.40278	   1.00000	   0.13007	   2.30053	   0.26629	   2.31589	  -6.60274
12855.09278	   1.00000	   0.10309	   2.15979	   0.74250	   2.28386	 -18.97215
12868.60578	   1.00000	   0.08153	   1.74662	   1.05323	   2.03960	 -31.09052
12885.70378	   1.00000	   0.06443	   1.27942	   1.07692	   1.67232	 -40.08816
12907.28978	   1.00000	   0.05102	   0.82044	   0.73406	   1.10090	 -41.81958
12934.53279	   1.00000	   0.04042	   0.66127	   0.10613	   0.66973	  -9.11806
