time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
13745.56998	   1.00000	20004.45300	   0.32311	  -0.01554	   0.32348	   2.75369
13745.71298	   1.00000	15829.12600	   0.33071	   0.00269	   0.33072	  -0.46596
13745.85498	   1.00000	12516.70300	   0.33890	   0.01808	   0.33938	  -3.05347
13745.99698	   1.00000	9909.44240	   0.34822	   0.03246	   0.34973	  -5.32483
13746.16098	   1.00000	7835.48000	   0.35737	   0.04671	   0.36041	  -7.44713
13746.36198	   1.00000	6217.24610	   0.36947	   0.05777	   0.37396	  -8.88722
13746.59998	   1.00000	4905.29100	   0.38030	   0.06760	   0.38627	 -10.07965
13746.83898	   1.00000	3881.27370	   0.39294	   0.07740	   0.40049	 -11.14327
13747.07698	   1.00000	3070.98270	   0.40658	   0.08641	   0.41566	 -11.99870
13747.31498	   1.00000	2430.77780	   0.42004	   0.09485	   0.43061	 -12.72515
13747.55298	   1.00000	1923.15370	   0.43536	   0.10376	   0.44756	 -13.40459
13747.79098	   1.00000	1522.43580	   0.45245	   0.11131	   0.46594	 -13.82149
13748.02898	   1.00000	1203.84460	   0.46916	   0.12086	   0.48448	 -14.44541
13748.26798	   1.00000	 952.86591	   0.48604	   0.12876	   0.50281	 -14.83786
13748.50598	   1.00000	 754.27557	   0.50683	   0.13805	   0.52529	 -15.23687
13748.74298	   1.00000	 596.71857	   0.52779	   0.14679	   0.54782	 -15.54202
13748.98098	   1.00000	 471.96338	   0.54941	   0.15703	   0.57141	 -15.95108
13749.21998	   1.00000	 373.20856	   0.57206	   0.16650	   0.59580	 -16.22802
13749.45698	   1.00000	 295.47278	   0.59705	   0.17747	   0.62287	 -16.55455
13749.69598	   1.00000	 233.87738	   0.62390	   0.18836	   0.65171	 -16.79993
13749.93498	   1.00000	 185.05922	   0.65083	   0.19958	   0.68074	 -17.04821
13750.17098	   1.00000	 146.35823	   0.68181	   0.21149	   0.71386	 -17.23360
13750.40698	   1.00000	 115.77804	   0.71216	   0.22391	   0.74653	 -17.45347
13750.64198	   1.00000	  91.67210	   0.74799	   0.23352	   0.78360	 -17.33839
13750.88698	   1.00000	  72.51701	   0.78220	   0.24608	   0.82000	 -17.46366
13751.11598	   1.00000	  57.36816	   0.81934	   0.25845	   0.85913	 -17.50706
13751.35298	   1.00000	  45.36290	   0.85684	   0.27146	   0.89881	 -17.57922
13751.58498	   1.00000	  35.93134	   0.89527	   0.28688	   0.94011	 -17.76778
13751.83498	   1.00000	  28.40909	   0.93592	   0.30182	   0.98339	 -17.87383
13752.04998	   1.00000	  22.48202	   0.97883	   0.32119	   1.03018	 -18.16657
13752.31498	   1.00000	  17.79613	   1.02721	   0.33997	   1.08200	 -18.31261
13752.56698	   1.00000	  14.06813	   1.07920	   0.36278	   1.13854	 -18.58047
13752.78298	   1.00000	  11.14480	   1.13941	   0.38974	   1.20422	 -18.88352
13753.04998	   1.00000	   8.81772	   1.20570	   0.40493	   1.27188	 -18.56453
