time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
11627.26671	   1.00000	20004.45300	   0.27249	  -0.02457	   0.27360	   5.15328
11627.40871	   1.00000	15829.12600	   0.28000	  -0.00246	   0.28001	   0.50260
11627.55071	   1.00000	12516.70300	   0.28736	   0.01549	   0.28778	  -3.08603
11627.69271	   1.00000	9909.44240	   0.29756	   0.03114	   0.29919	  -5.97463
11627.85771	   1.00000	7835.48000	   0.30688	   0.04756	   0.31055	  -8.81033
11628.05771	   1.00000	6217.24610	   0.31999	   0.05950	   0.32547	 -10.53397
11628.29571	   1.00000	4905.29100	   0.33213	   0.07146	   0.33973	 -12.14331
11628.53471	   1.00000	3881.27370	   0.34388	   0.08341	   0.35385	 -13.63452
11628.77271	   1.00000	3070.98270	   0.35973	   0.09289	   0.37153	 -14.47820
11629.01071	   1.00000	2430.77780	   0.37524	   0.10353	   0.38926	 -15.42434
11629.24871	   1.00000	1923.15370	   0.39214	   0.11351	   0.40824	 -16.14390
11629.48671	   1.00000	1522.43580	   0.40957	   0.12504	   0.42823	 -16.97750
11629.72471	   1.00000	1203.84460	   0.42982	   0.13381	   0.45017	 -17.29173
11629.96371	   1.00000	 952.86591	   0.45040	   0.14422	   0.47293	 -17.75505
11630.20171	   1.00000	 754.27557	   0.47347	   0.15333	   0.49768	 -17.94427
11630.43971	   1.00000	 596.71857	   0.49653	   0.16229	   0.52238	 -18.09998
11630.67671	   1.00000	 471.96338	   0.52082	   0.17203	   0.54849	 -18.27899
11630.91571	   1.00000	 373.20856	   0.54662	   0.18219	   0.57618	 -18.43349
11631.15371	   1.00000	 295.47278	   0.57275	   0.19345	   0.60454	 -18.66228
11631.39271	   1.00000	 233.87738	   0.60377	   0.20261	   0.63686	 -18.55080
11631.63071	   1.00000	 185.05922	   0.63671	   0.21305	   0.67141	 -18.50106
11631.86671	   1.00000	 146.35823	   0.66901	   0.22480	   0.70577	 -18.57357
11632.10371	   1.00000	 115.77804	   0.70586	   0.23606	   0.74429	 -18.49150
11632.33771	   1.00000	  91.67210	   0.74418	   0.24184	   0.78249	 -18.00274
11632.58271	   1.00000	  72.51701	   0.78262	   0.25217	   0.82224	 -17.85957
11632.81271	   1.00000	  57.36816	   0.82297	   0.25930	   0.86286	 -17.48852
11633.04871	   1.00000	  45.36290	   0.86640	   0.26295	   0.90543	 -16.88296
11633.28171	   1.00000	  35.93134	   0.91057	   0.26751	   0.94905	 -16.37177
11633.53171	   1.00000	  28.40909	   0.95500	   0.26727	   0.99170	 -15.63486
11633.74571	   1.00000	  22.48202	   1.00038	   0.26676	   1.03534	 -14.93096
11634.01071	   1.00000	  17.79613	   1.04586	   0.26301	   1.07842	 -14.11569
11634.26271	   1.00000	  14.06813	   1.09250	   0.25537	   1.12195	 -13.15636
