time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
7547.37132	   1.00000	20004.45300	   0.30554	  -0.01484	   0.30590	   2.77997
7547.51432	   1.00000	15829.12600	   0.31179	   0.00529	   0.31183	  -0.97247
7547.65632	   1.00000	12516.70300	   0.32224	   0.02222	   0.32301	  -3.94432
7547.79832	   1.00000	9909.44240	   0.33206	   0.03576	   0.33398	  -6.14711
7547.96232	   1.00000	7835.48000	   0.34191	   0.04887	   0.34539	  -8.13418
7548.16332	   1.00000	6217.24610	   0.35045	   0.05992	   0.35554	  -9.70243
7548.40132	   1.00000	4905.29100	   0.36484	   0.07105	   0.37170	 -11.01942
7548.64032	   1.00000	3881.27370	   0.37736	   0.07937	   0.38561	 -11.87853
7548.87832	   1.00000	3070.98270	   0.39025	   0.09052	   0.40061	 -13.05875
7549.11632	   1.00000	2430.77780	   0.40544	   0.09890	   0.41733	 -13.70869
7549.35432	   1.00000	1923.15370	   0.42072	   0.10888	   0.43458	 -14.50953
7549.59232	   1.00000	1522.43580	   0.43865	   0.11650	   0.45386	 -14.87367
7549.83032	   1.00000	1203.84460	   0.45656	   0.12468	   0.47328	 -15.27403
7550.06932	   1.00000	 952.86591	   0.47659	   0.13304	   0.49481	 -15.59667
7550.30732	   1.00000	 754.27557	   0.49564	   0.14362	   0.51603	 -16.16010
7550.54432	   1.00000	 596.71857	   0.51692	   0.15297	   0.53908	 -16.48439
7550.78232	   1.00000	 471.96338	   0.53918	   0.16175	   0.56291	 -16.69864
7551.02132	   1.00000	 373.20856	   0.56479	   0.17084	   0.59007	 -16.82976
7551.25932	   1.00000	 295.47278	   0.59031	   0.17936	   0.61696	 -16.90109
7551.49832	   1.00000	 233.87738	   0.61770	   0.19124	   0.64662	 -17.20262
7551.73632	   1.00000	 185.05922	   0.64744	   0.20274	   0.67844	 -17.38727
7551.97232	   1.00000	 146.35823	   0.67742	   0.21476	   0.71064	 -17.58996
7552.20932	   1.00000	 115.77804	   0.71038	   0.22487	   0.74513	 -17.56537
7552.44332	   1.00000	  91.67210	   0.74771	   0.23750	   0.78452	 -17.62205
7552.68832	   1.00000	  72.51701	   0.78497	   0.24431	   0.82211	 -17.28789
7552.91732	   1.00000	  57.36816	   0.82547	   0.25209	   0.86310	 -16.98222
7553.15432	   1.00000	  45.36290	   0.86411	   0.25721	   0.90158	 -16.57606
7553.38632	   1.00000	  35.93134	   0.90548	   0.26828	   0.94439	 -16.50369
7553.63632	   1.00000	  28.40909	   0.94150	   0.27158	   0.97988	 -16.09050
7553.85132	   1.00000	  22.48202	   0.98310	   0.28113	   1.02250	 -15.95868
7554.11632	   1.00000	  17.79613	   1.02791	   0.29335	   1.06895	 -15.92812
7554.36832	   1.00000	  14.06813	   1.08121	   0.29232	   1.12003	 -15.12899
7554.58432	   1.00000	  11.14480	   1.11904	   0.30631	   1.16020	 -15.30816
7554.85132	   1.00000	   8.81772	   1.17992	   0.29718	   1.21677	 -14.13691
7555.03032	   1.00000	   6.97545	   1.25182	   0.30315	   1.28801	 -13.61321
7555.24832	   1.00000	   5.51730	   1.28717	   0.31031	   1.32405	 -13.55421
7555.51732	   1.00000	   4.36941	   1.32965	   0.28552	   1.35996	 -12.11941
7555.85232	   1.00000	   3.45686	   1.38096	   0.24436	   1.40241	 -10.03448
7556.27132	   1.00000	   2.73547	   1.44930	   0.20786	   1.46413	  -8.16167
7556.79633	   1.00000	   2.16054	   1.51012	   0.19966	   1.52326	  -7.53175
7557.45533	   1.00000	   1.70952	   1.53845	   0.20829	   1.55248	  -7.71039
7558.28333	   1.00000	   1.35352	   1.53007	   0.21133	   1.54460	  -7.86382
7559.32633	   1.00000	   1.07079	   1.50022	   0.19011	   1.51221	  -7.22207
7560.64033	   1.00000	   0.84734	   1.47280	   0.13613	   1.47908	  -5.28093
7562.29633	   1.00000	   0.67072	   1.47215	   0.06799	   1.47372	  -2.64433
7564.38433	   1.00000	   0.53067	   1.51806	  -0.00472	   1.51806	   0.17817
7567.02133	   1.00000	   0.41976	   1.60205	  -0.03551	   1.60244	   1.26973
7570.35233	   1.00000	   0.33183	   1.69385	   0.00030	   1.69385	  -0.01022
7574.55833	   1.00000	   0.26261	   1.74326	   0.09670	   1.74594	  -3.17504
7579.86633	   1.00000	   0.20791	   1.71697	   0.21526	   1.73041	  -7.14606
7586.57133	   1.00000	   0.16452	   1.61566	   0.29915	   1.64312	 -10.48973
7595.04733	   1.00000	   0.13007	   1.47560	   0.30218	   1.50623	 -11.57331
7605.73733	   1.00000	   0.10309	   1.36110	   0.21317	   1.37769	  -8.90122
