time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
12619.03997	   1.00000	20004.45300	   0.34630	  -0.02711	   0.34736	   4.47588
12619.18297	   1.00000	15829.12600	   0.35399	  -0.01199	   0.35420	   1.93916
12619.32497	   1.00000	12516.70300	   0.35952	   0.00425	   0.35954	  -0.67807
12619.46697	   1.00000	9909.44240	   0.36615	   0.01552	   0.36648	  -2.42640
12619.63097	   1.00000	7835.48000	   0.37339	   0.02541	   0.37425	  -3.89306
12619.83197	   1.00000	6217.24610	   0.38047	   0.03407	   0.38199	  -5.11756
12620.06997	   1.00000	4905.29100	   0.38829	   0.04176	   0.39053	  -6.13895
12620.30897	   1.00000	3881.27370	   0.39610	   0.05172	   0.39946	  -7.43897
12620.54697	   1.00000	3070.98270	   0.40643	   0.05707	   0.41042	  -7.99260
12620.78497	   1.00000	2430.77780	   0.41652	   0.06304	   0.42127	  -8.60605
12621.02297	   1.00000	1923.15370	   0.42544	   0.07122	   0.43136	  -9.50361
12621.26097	   1.00000	1522.43580	   0.43786	   0.07598	   0.44440	  -9.84412
12621.49897	   1.00000	1203.84460	   0.45104	   0.08195	   0.45843	 -10.29736
12621.73797	   1.00000	 952.86591	   0.46428	   0.08798	   0.47254	 -10.73053
12621.97597	   1.00000	 754.27557	   0.47656	   0.09573	   0.48608	 -11.35862
12622.21297	   1.00000	 596.71857	   0.49167	   0.10096	   0.50192	 -11.60358
12622.45097	   1.00000	 471.96338	   0.50782	   0.10390	   0.51834	 -11.56325
12622.68997	   1.00000	 373.20856	   0.52338	   0.11126	   0.53508	 -12.00097
12622.92797	   1.00000	 295.47278	   0.54169	   0.11711	   0.55421	 -12.19904
12623.16697	   1.00000	 233.87738	   0.55981	   0.12152	   0.57285	 -12.24760
12623.40497	   1.00000	 185.05922	   0.57981	   0.12727	   0.59362	 -12.37988
12623.64097	   1.00000	 146.35823	   0.59830	   0.13221	   0.61273	 -12.46088
12623.87697	   1.00000	 115.77804	   0.61841	   0.13903	   0.63385	 -12.67080
