time/s	           cycle number	freq/Hz	           Re(Z)/Ohm	  -Im(Z)/Ohm	   |Z|/Ohm	   Phase(Z)/deg
14267.69519	   1.00000	20004.45300	   0.32961	  -0.01293	   0.32987	   2.24624
14267.83719	   1.00000	15829.12600	   0.33579	   0.00529	   0.33583	  -0.90195
14267.97919	   1.00000	12516.70300	   0.34493	   0.02095	   0.34557	  -3.47554
14268.12119	   1.00000	9909.44240	   0.35563	   0.03201	   0.35707	  -5.14263
14268.28619	   1.00000	7835.48000	   0.36321	   0.04514	   0.36600	  -7.08399
14268.48619	   1.00000	6217.24610	   0.37168	   0.05584	   0.37586	  -8.54343
14268.72519	   1.00000	4905.29100	   0.38475	   0.06544	   0.39027	  -9.65244
14268.96319	   1.00000	3881.27370	   0.39693	   0.07386	   0.40374	 -10.54163
14269.20119	   1.00000	3070.98270	   0.41129	   0.08394	   0.41976	 -11.53578
14269.43919	   1.00000	2430.77780	   0.42325	   0.09187	   0.43311	 -12.24696
14269.67719	   1.00000	1923.15370	   0.43730	   0.10167	   0.44897	 -13.08877
14269.91519	   1.00000	1522.43580	   0.45570	   0.10958	   0.46869	 -13.52126
14270.15419	   1.00000	1203.84460	   0.46859	   0.11707	   0.48299	 -14.02734
14270.39219	   1.00000	 952.86591	   0.48771	   0.12616	   0.50376	 -14.50266
14270.63019	   1.00000	 754.27557	   0.50824	   0.13351	   0.52548	 -14.71876
14270.86819	   1.00000	 596.71857	   0.52701	   0.14606	   0.54687	 -15.49101
14271.10519	   1.00000	 471.96338	   0.54227	   0.15299	   0.56344	 -15.75521
14271.34419	   1.00000	 373.20856	   0.56792	   0.16060	   0.59019	 -15.79004
14271.80219	   1.00000	 295.47278	   0.59773	   0.17375	   0.62247	 -16.20817
14272.04119	   1.00000	 233.87738	   0.62424	   0.18733	   0.65174	 -16.70417
14272.27919	   1.00000	 185.05922	   0.65086	   0.19780	   0.68026	 -16.90464
14272.51519	   1.00000	 146.35823	   0.67262	   0.20934	   0.70445	 -17.28739
14272.75219	   1.00000	 115.77804	   0.70355	   0.22198	   0.73774	 -17.51154
14272.98619	   1.00000	  91.67210	   0.74370	   0.23273	   0.77926	 -17.37669
14273.23119	   1.00000	  72.51701	   0.76910	   0.24207	   0.80630	 -17.47119
14273.46119	   1.00000	  57.36816	   0.81037	   0.23450	   0.84362	 -16.13926
